tickerSymbol,trendPriceRelationship,currentTrend,previousTrend,currentPrice,previousPrice,topOccurrences,reason,timeScanned
BHTG,N/A,13.514,0.0,,,0,good!,08:26
QUBT,N/A,9.56,0.0,,,0,good!,08:19
OSAT,N/A,8.278,0.0,,,0,good!,08:20
APRE,N/A,7.102,0.0,,,0,good!,08:27
BIOL,N/A,4.871,0.0,,,1,good!,08:26
BTB,N/A,4.218,6.728,,,1,good!,08:17
FARM,N/A,3.102,0.0,,,0,good!,08:28
DPW,N/A,3.054,0.0,,,0,good!,08:25
TRVN,N/A,2.255,0.0,,,0,good!,08:18
ACST,N/A,2.134,3.328,,,1,good!,08:17
VACQ,N/A,2.088,0.0,,,0,good!,08:18
BOXL,N/A,2.086,0.0,,,1,good!,08:26
JAGX,N/A,1.989,0.0,,,1,good!,08:23
ZSAN,N/A,1.68,1.242,,,0,good!,08:17
FRLN,N/A,1.582,0.0,,,0,good!,08:24
MARK,N/A,1.51,0.0,,,0,good!,08:22
LKCO,N/A,1.466,0.0,,,0,good!,08:23
TOUR,N/A,1.399,0.0,,,0,good!,08:18
CWBR,N/A,1.384,0.0,,,0,good!,08:17
TNXP,N/A,1.368,1.404,,,0,good!,08:17
NAK,N/A,1.319,0.0,,,0,good!,08:22
ATOS,N/A,1.304,1.509,,,1,good!,08:17
UK,N/A,1.288,0.0,,,0,good!,08:18
IRS,N/A,1.231,0.0,,,0,good!,08:23
XELA,N/A,1.207,1.479,,,0,good!,08:17
GNUS,N/A,1.204,0.0,,,0,good!,08:17
OGEN,N/A,1.201,0.0,,,0,good!,08:20
NAKD,N/A,1.186,0.0,,,0,good!,08:22
PLX,N/A,1.161,0.0,,,0,good!,08:17
ANY,N/A,1.157,0.0,,,0,good!,08:27
ZEV,N/A,1.111,1.446,,,1,good!,08:17
BEST,N/A,1.091,0.0,,,0,good!,08:26
ONE,N/A,1.081,0.0,,,0,good!,08:20
FUND,N/A,1.079,1.11,,,0,good!,08:17
VS,N/A,1.069,0.0,,,1,good!,08:18
MN,N/A,1.041,0.0,,,0,good!,08:22
VGZ,N/A,0.0,0.0,,,0,low result,08:17
THM,N/A,0.0,0.0,,,0,low result,08:17
TFFP,N/A,0.0,0.0,,,0,low result,08:17
TH,N/A,0.0,0.0,,,0,low result,08:17
THTX,N/A,0.0,0.0,,,0,low result,08:17
THMO,N/A,0.0,0.0,,,0,low result,08:17
TGA,N/A,0.0,0.0,,,0,spiked data,08:17
SNGX,N/A,0.0,0.0,,,0,spiked data,08:17
SNII,N/A,0.0,0.0,,,0,no data,08:17
SNES,N/A,0.0,0.0,,,0,low result,08:17
SNCR,N/A,0.0,0.0,,,0,spiked data,08:17
SNMP,N/A,0.0,0.0,,,0,spiked data,08:17
SNFCA,N/A,0.0,0.0,,,0,low result,08:17
RFIL,N/A,0.0,0.0,,,0,low result,08:17
RETO,N/A,0.0,0.0,,,0,low result,08:17
RGS,N/A,0.0,0.0,,,0,low result,08:17
RGC,N/A,0.0,0.0,,,0,low result,08:17
RHE,N/A,0.0,0.0,,,0,low result,08:17
RESN,N/A,0.0,0.0,,,0,front zeros,08:17
PMM,N/A,0.0,0.0,,,0,low result,08:17
PMBC,N/A,0.0,0.0,,,0,low result,08:17
PLIN,N/A,0.0,0.0,,,0,low result,08:17
NEW,N/A,0.0,0.0,,,0,low result,08:17
NEPT,N/A,0.0,0.0,,,0,low result,08:17
NEXT,N/A,0.0,0.0,,,0,low result,08:17
NGAC,N/A,0.0,0.0,,,0,low result,08:17
NES,N/A,0.0,0.0,,,0,low result,08:17
NEPH,N/A,0.0,0.0,,,0,no data,08:17
LUB,N/A,0.0,0.0,,,0,low result,08:17
JUPW,N/A,0.0,0.0,,,0,low result,08:17
IAF,N/A,0.0,0.0,,,0,low result,08:17
ICMB,N/A,0.0,0.0,,,0,no data,08:17
ICD,N/A,0.0,0.0,,,0,low result,08:17
ICLK,N/A,0.0,0.0,,,0,low result,08:17
ICON,N/A,0.0,0.0,,,0,low result,08:17
GOVX,N/A,0.0,0.0,,,0,spiked data,08:17
GPAC,N/A,0.0,0.0,,,0,no data,08:17
GPL,N/A,0.0,0.0,,,0,spiked data,08:17
GOBI,N/A,0.0,0.0,,,0,low result,08:17
FORD,N/A,0.0,1.042,,,0,low result,08:17
EGGF,N/A,0.0,0.0,,,0,no data,08:17
EKSO,N/A,0.0,0.0,,,0,low result,08:17
ELA,N/A,0.0,0.0,,,0,low result,08:17
ELDN,N/A,0.0,0.0,,,0,low result,08:17
EIGR,N/A,0.0,0.0,,,0,low result,08:17
EJH,N/A,0.0,0.0,,,0,low result,08:17
CUBA,N/A,0.0,0.0,,,0,low result,08:17
CXDC,N/A,0.0,0.0,,,0,low result,08:17
CVGI,N/A,0.0,0.0,,,0,low result,08:17
CVM,N/A,0.0,3.654,9.5,,2,low result,08:17
CVU,N/A,0.0,0.0,,,0,low result,08:17
CFRX,N/A,0.0,0.0,,,0,spiked data,08:17
CFVI,N/A,0.0,0.0,,,0,no data,08:17
CFV,N/A,0.0,0.0,,,0,no data,08:17
CGRN,N/A,0.0,0.0,,,0,low result,08:17
BCTX,N/A,0.0,0.0,,,0,low result,08:17
BDSX,N/A,0.0,0.0,,,0,low result,08:17
ANIX,N/A,0.0,0.0,,,0,low result,08:17
ANAC,N/A,0.0,0.0,,,0,no data,08:17
ANPC,N/A,0.0,0.0,,,0,low result,08:17
AMPY,N/A,0.0,0.0,,,0,low result,08:17
AMTX,N/A,0.0,0.0,,,0,spiked data,08:17
ZVO,N/A,0.0,0.0,,,0,low result,08:17
ZKIN,N/A,0.0,0.0,,,0,low result,08:17
ZIXI,N/A,0.0,0.0,,,0,low result,08:17
ZIVO,N/A,0.0,0.0,,,0,low result,08:17
ZYNE,N/A,0.0,0.0,,,0,low result,08:28
ZWRK,N/A,0.0,0.0,,,0,no data,08:28
